name,college,number,id,draft_round,position,dob,draft_year,draft_pick
Mackensie Alexander,Clemson,0,3045120,2,CB,"Nov 12, 1993",2016,54
Jack Tocho,NC State,9,3051737,7,CB,"Feb 8, 1996",2017,245
Andrew Sendejo,Rice,,13939,,,"Sep 9, 1987",,
Datone Jones,UCLA,6,15798,1,DE,"Jul 24, 1990",2013,26
Eric Kendricks,UCLA,4,2510863,2,LB,"Feb 29, 1992",2015,45
Stephen Weatherly,Vanderbilt,1,2972362,7,DE,"Mar 19, 1994",2016,227
Danielle Hunter,LSU,9,2976560,3,DE,"Oct 29, 1994",2015,88
Dylan Bradley,Southern Mississippi,9,3059973,,DT,"Feb 4, 1995",,
Horace Richardson,SMU,4,2980480,,CB,"Sep 28, 1993",,
Stacy Coley,Miami,3,3051923,7,WR,"May 13, 1994",2017,219
Dalvin Cook,Florida State,3,3116593,2,RB,"Aug 10, 1995",2017,41
Michael Floyd,Notre Dame,7,14908,1,WR,"Nov 27, 1989",2012,13
Bishop Sankey,Washington,2,16794,2,RB,"Sep 15, 1992",2014,54
Rodney Adams,South Florida,,3059918,5,,"Sep 15, 1994",2017,170
C.J. Ham,Augustana (SD),0,4012556,,RB,"Jul 22, 1993",,
Jarius Wright,Arkansas,3,14918,4,WR,"Nov 25, 1989",2012,118
Terrell Newby,Nebraska,,3040496,,,"Jul 25, 1995",,
Stefon Diggs,Maryland,4,2976212,5,WR,"Nov 29, 1993",2015,146
Nick Truesdell,None,,2309428,,,"Mar 14, 1990",,
Isaac Fruechte,Minnesota,,2970698,,,"Mar 7, 1991",,
Josiah Price,Michigan State,7,2979554,,TE,"Jul 19, 1993",,
Bucky Hodges,Virginia Tech,2,3045466,6,TE,"Aug 8, 1995",2017,201
Kai Forbath,UCLA,,14816,,,"Sep 2, 1987",,
Marshall Koehn,Iowa,8,2582419,,PK,"Aug 29, 1992",,
Taylor Heinicke,Old Dominion,6,2565969,,QB,"Mar 15, 1993",,
Case Keenum,Houston,4,15168,,QB,"Feb 17, 1988",,
Taylor Symmank,Texas Tech,,2983232,,,"Oct 2, 1992",,
Ryan Quigley,Boston ,,15616,,,"Jan 26, 1990",,
Sam Bradford,Oklahoma,9,13197,1,QB,"Nov 8, 1987",2010,1
Jabari Price,North Carolina,,16878,7,,"Aug 31, 1992",2014,225
Xavier Rhodes,Florida State,9,15810,1,CB,"Jun 19, 1990",2013,25
Tom Johnson,Southern Mississippi,1,16695,,DT,"Aug 30, 1984",,
Zac Kerin,Toledo,,17013,,,"Aug 13, 1991",,
Sam McCaskill,Boise State,,2972904,,,"Mar 18, 1994",,
David Morgan,UT San Antonio,9,2580052,6,TE,"May 19, 1993",2016,188
Jerick McKinnon,Georgia Southern,8,16782,3,RB,"May 3, 1992",2014,96
Jeremiah Sirles,Nebraska,,17040,,,"Aug 8, 1991",,
Harrison Smith,Notre Dame,,14945,1,,"Feb 2, 1989",2012,29
Kentrell Brothers,Missouri,0,2577354,5,LB,"Feb 8, 1993",2016,160
Tre Roberson,Illinois State,,2578317,,,"Oct 22, 1992",,
Noor Davis,Stanford,,2978260,,,"Dec 15, 1994",,
Adam Thielen,Minnesota State,9,16460,,WR,"Aug 22, 1990",,
Laquon Treadwell,Ole Miss,1,3051889,1,WR,"Jun 14, 1995",2016,23
Cayleb Jones,Arizona,6,2971719,,WR,"Mar 21, 1993",,
Kyle Carter,Penn State,8,2582138,,TE,"Dec 17, 1992",,
Latavius Murray,UCF,5,15920,6,RB,"Jan 18, 1990",2013,181
Bronson Hill,Eastern Michigan,8,2574474,,RB,"Jan 2, 1993",,
Moritz Bohringer,None,9,4002672,6,TE,"Oct 16, 1993",2016,180
Mitch Leidner,Minnesota,,2970710,,,"Jan 17, 1994",,
Linval Joseph,East Carolina,8,13281,2,DT,"Oct 10, 1988",2010,46
Kyle Rudolph,Notre Dame,2,14054,2,TE,"Nov 9, 1989",2011,43
Brian Robison,Texas,6,10546,4,DE,"Apr 27, 1983",2007,102
Blake Bell,Oklahoma,1,2514206,4,TE,"Aug 7, 1991",2015,117
Mike Remmers,Oregon State,4,15422,,OT,"Apr 11, 1989",,
Tramaine Brock,Belhaven University,2,13681,,CB,"Aug 20, 1988",,
Joe Berger,Michigan Tech,,8621,6,,"May 25, 1982",2005,207
Teddy Bridgewater,Louisville,5,16728,1,QB,"Nov 10, 1992",2014,32
Trae Elston,Ole Miss,,2980380,,,"Feb 16, 1994",,
Reggie Ragland,Alabama,9,2979855,2,LB,"Sep 23, 1993",2016,41
Marquavius Lewis,South Carolina,7,3894931,,DE,"Oct 11, 1992",,
Shareece Wright,USC,5,14010,3,CB,"Apr 8, 1987",2011,89
Ramon Humber,North Dakota State,0,12988,,LB,"Aug 10, 1987",,
Deandre Coleman,California,,17128,,,"Jan 27, 1991",,
Bradley Sylve,Alabama,,2578482,,,"Jan 29, 1993",,
Eddie Yarbrough,Wyoming,4,2576040,,DE,"Apr 24, 1993",,
Carl Bradford,Arizona State,4,16926,4,LB,"Aug 15, 1992",2014,121
Gerald Hodges,Penn State,1,15977,4,LB,"Jan 17, 1991",2013,120
Shamiel Gary,Oklahoma State,,17154,,,"May 31, 1990",,
Ian Seau,Nevada,,2577337,,,"Dec 4, 1992",,
B.T. Sanders,Nicholls,,3050615,,,"Jun 29, 1995",,
Jerel Worthy,Michigan State,,14967,2,,"Apr 28, 1990",2012,51
Jacob Lindsey,Harvard,,2566602,,,"Jun 24, 1993",,
Jerry Hughes,TCU,5,13245,1,DE,"Aug 13, 1988",2010,31
Kyle Williams,LSU,5,9720,5,DT,"Jun 10, 1983",2006,134
Taiwan Jones,Eastern Washington,6,14167,4,RB,"Jul 26, 1988",2011,125
Patrick DiMarco,South Carolina,2,14332,,FB,"Apr 30, 1989",,
Leonard Johnson,Iowa State,4,15398,,CB,"Mar 30, 1990",,
Bacarri Rambo,Georgia,,15912,6,,"Jun 27, 1990",2013,191
Sam Barrington,South Florida,,15954,7,,"Oct 5, 1990",2013,232
Preston Brown,Louisville,2,16762,3,LB,"Oct 27, 1992",2014,73
Tre'Davious White,LSU,7,3042717,1,CB,"Jan 16, 1995",2017,27
Matt Milano,Boston ,8,3046287,5,LB,"Jul 28, 1994",2017,163
Jake Metz,Shippensburg,,3089089,,,"Mar 16, 1991",,
Joe Powell,None,,4006388,,,"Feb 25, 1994",,
Marcus Sayles,West Georgia,5,4220625,,CB,"Oct 1, 1994",,
Joe Banyard,UTEP,,15296,,,"Nov 12, 1988",,
Reid Ferguson,LSU,9,2976549,,LS,"Mar 24, 1994",,
Charles James II,Charleston Southern,,16561,,,"May 14, 1990",,
Sammy Watkins,Clemson,4,16725,1,WR,"Jun 14, 1993",2014,4
Daikiel Shorts,West Virginia,,3042428,,,"Oct 6, 1994",,
Corey Brown,Ohio State,5,17399,,WR,"Dec 16, 1991",,
Dezmin Lewis,Central Arkansas,,2567965,7,,"Dec 5, 1992",2015,234
Logan Thomas,Virginia Tech,2,16813,4,TE,"Jul 1, 1991",2014,120
Brandon Reilly,Nebraska,9,2974328,,WR,"Sep 24, 1993",,
Nick O'Leary,Florida State,4,2576804,6,TE,"Aug 31, 1992",2015,194
Jason Croom,Tennessee,0,2972240,,TE,"Feb 28, 1994",,
Jonathan Williams,Arkansas,2,2980077,5,RB,"Feb 2, 1994",2016,156
Walter Powell,Murray State,,16871,6,,"Nov 23, 1991",2014,196
Mike Tolbert,Coastal Carolina,,11658,,,"Nov 23, 1985",,
Andre Holmes,Hillsdale,8,14403,,WR,"Jun 16, 1988",,
Rod Streater,Temple,1,15391,,WR,"Feb 9, 1988",,
Rashad Ross,Arizona State,,16566,,,"Feb 2, 1990",,
Cedric O'Neal,Valdosta State,,3016887,,,"Jan 29, 1994",,
Stephen Hauschka,NC State,4,11923,,PK,"Jun 29, 1985",,
Austin Rehkow,Idaho,,3060187,,,"Mar 17, 1995",,
Nathan Peterman,Pittsburgh,2,2972236,5,QB,"May 4, 1994",2017,171
Jordan Johnson,Buffalo,,2972311,,,"May 21, 1994",,
Tyrod Taylor,Virginia Tech,5,14163,6,QB,"Aug 3, 1989",2011,180
Colton Schmidt,UC Davis,,16623,,,"Oct 27, 1990",,
T.J. Yates,North Carolina,,14114,5,,"May 28, 1987",2011,152
Lorenzo Alexander,California,7,9424,,LB,"May 31, 1983",,
Jumal Rolle,Catawba,,16219,,,"May 28, 1990",,
E.J. Gaines,Missouri,8,16898,6,CB,"Feb 23, 1992",2014,188
Kevon Seymour,USC,7,2971603,6,CB,"Nov 30, 1993",2016,218
Greg Mabin,Iowa,6,2979515,,CB,"Jun 25, 1994",,
Tanner Vallejo,Boise State,0,3042895,6,LB,"Dec 16, 1994",2017,195
Jordan Poyer,Oregon State,,15979,7,,"Apr 25, 1991",2013,218
Max Valles,Virginia,,3048702,6,,"Aug 5, 1994",2015,179
Ryan Davis,Bethune-Cookman,8,15319,,DE,"Feb 24, 1989",,
Micah Hyde,Iowa,,15960,5,,"Dec 31, 1990",2013,159
Karim Barton,Morgan State,,16968,,,"Dec 13, 1991",,
Shaq Lawson,Clemson,0,2977679,1,DE,"Jun 17, 1994",2016,19
Zay Jones,East Carolina,1,3059722,2,WR,"Mar 30, 1995",2017,37
Charles Clay,Tulsa,5,14145,6,TE,"Feb 13, 1989",2011,174
LeSean McCoy,Pittsburgh,5,12514,2,RB,"Jul 12, 1988",2009,53
Anquan Boldin,Florida State,,4512,2,,"Oct 3, 1980",2003,54
Brandon Tate,North Carolina,7,12597,3,WR,"Oct 5, 1987",2009,83
Adolphus Washington,Ohio State,2,2976317,3,DT,"Nov 24, 1992",2016,80
Vladimir Ducasse,UMass,,13273,2,,"Oct 15, 1987",2010,61
Ryan Groy,Wisconsin,,17063,,,"Sep 30, 1990",,
Abner Logan,Albany,,2976223,,,"Jul 24, 1993",,
Adrian McDonald,Houston,,2981514,,,"Mar 18, 1994",,
Rory Anderson,South Carolina,,2577661,7,,"Oct 2, 1992",2015,254
Wes Saxton,South Alabama,3,2972765,,TE,"Aug 13, 1993",,
Keith Wenning,Ball State,,16915,6,,"Feb 14, 1991",2014,194
Eric Wood,Louisville,,12627,1,,"Mar 18, 1986",2009,28
Colt Anderson,Montana,,12757,,,"Oct 25, 1985",,
Deon Lacey,West Alabama,4,16475,,LB,"Jul 18, 1990",,
Jordan Matthews,Vanderbilt,,16763,2,,"Jul 16, 1992",2014,42
Cedric Thornton,Southern Arkansas,3,14310,,DT,"Jun 21, 1988",,
Marcell Dareus,Alabama,9,13992,1,DT,"Mar 13, 1990",2011,3
Kaelin Clay,Utah,5,2516957,6,WR,"Jan 2, 1992",2015,184
Joe Webb,UAB,5,13484,6,QB,"Nov 14, 1986",2010,199
Robert Blanton,Notre Dame,,15079,5,,"Sep 7, 1989",2012,139
Shamarko Thomas,Syracuse,,15992,4,,"Feb 23, 1991",2013,111
Deonte Thompson,Florida,5,15503,,WR,"Feb 14, 1989",,
Jordan Mills,Louisiana Tech,9,16004,5,OT,"Dec 24, 1990",2013,163
Kelvin Benjamin,Florida State,3,16730,1,WR,"Feb 5, 1991",2014,28
Lafayette Pitts,Pittsburgh,0,2576665,,CB,"Sep 24, 1992",,
Travaris Cadet,Appalachian State,9,15457,,RB,"Feb 1, 1989",,
Cap Capi,Akron,1,2514374,,DE,"Jul 11, 1992",,
Rickey Hatley,Missouri,4,2971436,,NT,"Mar 29, 1994",,
Marcus Murphy,Missouri,5,2514123,7,RB,"Oct 3, 1991",2015,230
Duke Riley,LSU,2,3042725,3,LB,"Aug 9, 1994",2017,75
Josh Keyes,Boston ,9,2576461,,LB,"Jan 23, 1993",,
De'Vondre Campbell,Minnesota,9,3040180,4,LB,"Jul 1, 1993",2016,115
Chris Odom,Arkansas State,8,3042361,,LB,"Sep 16, 1994",,
Blidi Wreh-Wilson,UConn,3,15881,3,CB,"Dec 5, 1989",2013,70
Ra'Shede Hageman,Minnesota,,16744,2,,"Aug 8, 1990",2014,37
Jalen Collins,LSU,,2577292,2,,"Mar 20, 1993",2015,42
Deron Washington,Pittsburg State,,3073714,,,"May 3, 1993",,
Courtney Upshaw,Alabama,,14970,2,,"Dec 13, 1989",2012,35
Joe Vellano,Maryland,,16421,,,"Oct 30, 1988",,
Ricardo Allen,Purdue,,16882,5,,"Dec 18, 1991",2014,147
Marcelis Branch,Robert Morris,,2972155,,,"Jan 19, 1994",,
Damontae Kazee,San Diego State,,2976099,5,,"Jun 5, 1993",2017,149
Deion Jones,LSU,5,2976545,2,LB,"Nov 4, 1994",2016,52
Kemal Ishmael,UCF,,16008,7,,"May 6, 1991",2013,243
Desmond Trufant,Washington,1,15812,1,CB,"Sep 10, 1990",2013,22
Deji Olatoye,North Carolina A&T,,17224,,,"Jul 20, 1991",,
D.J. Tialavea,Utah State,,17269,,,"Jul 27, 1991",,
C.J. Goodwin,California (PA),4,17474,,CB,"Feb 4, 1990",,
Terron Ward,Oregon State,,2577023,,,"Feb 15, 1992",,
Taniela Tupou,Washington,3,2578390,,DT,"Dec 13, 1992",,
Jack Lynn,Minnesota,,2970711,,,"Aug 6, 1993",,
Jordan Moore,UT San Antonio,,2971542,,,"Dec 13, 1993",,
Sharrod Neasman,Florida Atlantic,,2982866,,,"Oct 14, 1991",,
Quincy Mauger,Georgia,,3043147,,,"Mar 4, 1995",,
Brian Hill,Wyoming,3,3125403,5,RB,"Nov 9, 1995",2017,156
Jarnor Jones,Iowa State,,3892776,,,"Apr 29, 1994",,
Brooks Reed,Arizona,0,13997,2,DE,"Feb 28, 1987",2011,42
Jermaine Grace,Miami,8,3051924,,LB,"Nov 8, 1993",,
LaRoy Reynolds,Virginia,0,16449,,LB,"Nov 3, 1990",,
J.T. Jones,Miami (OH),5,2978065,,DE,"Nov 12, 1993",,
Reggie Davis,Georgia,3,3043134,,WR,"Nov 22, 1995",,
Anthony Dable,None,,3966261,,,"Sep 25, 1988",,
Marvin Hall,Washington,7,2578369,,WR,"Apr 10, 1993",,
Devonta Freeman,Florida State,4,16944,4,RB,"Mar 15, 1992",2014,103
Austin Hooper,Stanford,1,3043275,3,TE,"Oct 29, 1994",2016,81
Reginald Davis III,Texas Tech,,2979174,,,"Sep 14, 1993",,
Deante Burton,Kansas State,9,2977689,,CB,"Jul 12, 1994",,
Mohamed Sanu,Rutgers,2,14922,3,WR,"Aug 22, 1989",2012,83
Kelvin Taylor,Florida,,3043120,6,,"Sep 28, 1993",2016,211
Tyler Renew,The Citadel,,3049733,,,"Oct 20, 1994",,
Darion Griswold,Arkansas State,,2572850,,,"Dec 23, 1992",,
Josh Perkins,Washington,3,2578377,,TE,"Aug 5, 1993",,
Josh Magee,South Alabama,,2979852,,,"Oct 1, 1991",,
Eric Saubert,Drake,5,2975863,5,TE,"May 1, 1994",2017,174
Mike Meyer,Iowa,,2522211,,,"Jun 2, 1992",,
Matt Bryant,Baylor,3,4333,,PK,"May 29, 1975",,
Matt Simms,Tennessee,,15407,,,"Sep 27, 1988",,
Alek Torgersen,Pennsylvania,8,3049779,,QB,"Jan 13, 1995",,
Tevin Coleman,Indiana,6,2979477,3,RB,"Apr 16, 1993",2015,73
Matt Bosher,Miami,,14073,6,,"Oct 18, 1987",2011,192
Matt Ryan,Boston ,2,11237,1,QB,"May 17, 1985",2008,3
Matt Schaub,Virginia,8,5615,3,QB,"Jun 25, 1981",2004,90
Josh Harris,Auburn,7,15151,,LS,"Apr 27, 1989",,
Cornelius Edison,Portland State,,2565684,,,"Jul 10, 1993",,
Jhurell Pressley,New Mexico,,2974212,,,"May 20, 1992",,
Brian Poole,Florida,4,2980115,,CB,"Oct 20, 1992",,
Keanu Neal,Florida,,3054962,1,,"Jul 26, 1995",2016,17
Robert Alford,Southeastern Louisiana,3,15817,2,CB,"Nov 1, 1988",2013,60
Vic Beasley Jr.,Clemson,4,2512400,1,LB,"Jul 8, 1992",2015,8
Grady Jarrett,Clemson,7,2576492,5,DT,"Apr 28, 1993",2015,137
Akeem King,San Jose State,6,2509574,7,CB,"Oct 29, 1992",2015,249
Takkarist McKinley,UCLA,8,3152371,1,DE,"Nov 2, 1995",2017,26
Nick Williams,UConn,4,16345,,WR,"Nov 23, 1990",,
Bra'Lon Cherry,NC State,,3051708,,,"Jul 24, 1995",,
Jack Crawford,Penn State,5,15090,5,DE,"Sep 7, 1988",2012,158
Derrick Shelby,Utah,0,15278,,DE,"Mar 4, 1989",,
Alex Mack,California,,12616,1,,"Nov 19, 1985",2009,21
Adrian Clayborn,Iowa,4,13965,1,DE,"Jul 6, 1988",2011,20
Derrick Coleman,UCLA,8,15351,,FB,"Oct 18, 1990",,
Kevin Graf,USC,,16999,,,"Jun 17, 1991",,
Julio Jones,Alabama,1,13982,1,WR,"Feb 8, 1989",2011,6
Levine Toilolo,Stanford,7,15980,4,TE,"Jul 30, 1991",2013,133
Taylor Gabriel,Abilene Christian,8,17437,,WR,"Feb 17, 1991",,
Andre Roberts,The Citadel,3,13226,3,WR,"Jan 9, 1988",2010,88
A.J. Jefferson,Mississippi State,,2971380,,,"Mar 3, 1993",,
Alex Gray,None,9,4227184,,TE,"May 1, 1991",,
Dontari Poe,Memphis,5,14939,1,DT,"Aug 18, 1990",2012,11
Justin Hardy,East Carolina,4,2518678,4,WR,"Dec 18, 1991",2015,107
Andy Levitre,Oregon State,,12614,2,,"May 15, 1986",2009,51
Ben Garland,Air Force,,13802,,,"Apr 6, 1988",,
Ahtyba Rubin,Iowa State,3,11424,6,DT,"Jul 25, 1986",2008,190
Sean Weatherspoon,Missouri,,13243,1,,"Dec 29, 1987",2010,19
Ryan Schraeder,Valdosta State,3,16222,,OT,"May 4, 1988",,
Ty Sambrailo,Colorado State,4,2514397,2,OT,"Mar 10, 1992",2015,59
Cordrea Tankersley,Clemson,0,3045136,3,CB,"Nov 19, 1993",2017,97
Chase Allen,Southern Illinois,9,2975680,,LB,"Aug 29, 1993",,
Deon Lacey,West Alabama,4,16475,,LB,"Jul 18, 1990",,
Lafayette Pitts,Pittsburgh,0,2576665,,CB,"Sep 24, 1992",,
Jordan Lucas,Penn State,3,2979595,6,CB,"Aug 2, 1993",2016,204
Vincent Taylor,Oklahoma State,6,3046343,6,DT,"Jan 5, 1994",2017,194
Terrence Fede,Marist,6,16860,7,DE,"Nov 19, 1991",2014,234
Cameron Malveaux,Houston,5,2981511,,DE,"Sep 22, 1994",,
William Hayes,Winston-Salem,5,11337,4,DE,"May 2, 1985",2008,103
Ndamukong Suh,Nebraska,3,13234,1,DT,"Jan 6, 1987",2010,2
Praise Martin-Oguike,Temple,,2574816,,,"Aug 30, 1993",,
A.J. Hendy,Maryland,,2577076,,,"Apr 8, 1993",,
Xavien Howard,Baylor,5,2978935,2,CB,"Jul 4, 1993",2016,38
Alterraun Verner,UCLA,,13478,4,,"Dec 13, 1988",2010,104
Trevor Reilly,Utah,,16834,7,,"Jan 17, 1988",2014,233
Davon Godchaux,LSU,6,3115383,5,DT,"Nov 11, 1994",2017,178
Lawrence Okoye,None,,16155,,,"Oct 6, 1991",,
Lawrence Timmons,Florida State,,10459,1,,"May 14, 1986",2007,15
Reshad Jones,Georgia,,13395,5,,"Feb 25, 1988",2010,163
Michael Thomas,Stanford,,15231,,,"Mar 17, 1990",,
Kiko Alonso,Oregon,7,15819,2,LB,"Aug 14, 1990",2013,46
T.J. McDonald,USC,,15852,3,,"Jan 26, 1991",2013,71
Brandon Watts,Georgia Tech,,16818,7,,"Jan 21, 1991",2014,223
Mike Hull,Penn State,5,2515545,,LB,"May 25, 1991",,
Thomas Duarte,UCLA,3,3047558,7,TE,"Mar 30, 1995",2016,231
Maurice Smith,Georgia,,3054859,,,"Jun 14, 1995",,
Torry McTyer,UNLV,4,3058965,,CB,"Apr 10, 1995",,
Cameron Wake,Penn State,1,12417,,DE,"Jan 30, 1982",,
Julius Warmsley,Tulane,2,17428,,DE,"May 15, 1990",,
Nick Williams,Samford,7,2317118,7,DE,"Feb 21, 1990",2013,223
Damore'ea Stringfellow,Ole Miss,7,3052182,,WR,"Oct 18, 1994",,
Francis Owusu,Stanford,2,3043278,,WR,"Dec 27, 1994",,
Leonte Carroo,Rutgers,8,2982804,3,WR,"Jan 24, 1994",2016,86
MarQueis Gray,Minnesota,8,16323,,TE,"Nov 7, 1989",,
Jakeem Grant,Texas Tech,9,2577641,6,WR,"Oct 30, 1992",2016,186
DeVante Parker,Louisville,1,2576623,1,WR,"Jan 20, 1993",2015,14
Senorise Perry,Louisville,4,17421,,RB,"Sep 19, 1991",,
Kenyan Drake,Alabama,2,2979843,3,RB,"Jan 26, 1994",2016,73
Mitch Mathews,BYU,,2474890,,,"Apr 15, 1991",,
Drew Morgan,Arkansas,1,3046438,,WR,"Dec 2, 1994",,
Andrew Franks,Rensselaer,,3893609,,,"Jan 11, 1993",,
Damien Williams,Oklahoma,6,17359,,RB,"Apr 3, 1992",,
De'Veon Smith,Michigan,8,3045199,,RB,"Nov 8, 1994",,
Storm Johnson,UCF,,16884,7,,"Jul 10, 1992",2014,222
Brandon Doughty,Western Kentucky,6,2517676,7,QB,"Oct 6, 1991",2016,223
Matt Darr,Tennessee,,2516357,,,"Jul 2, 1992",,
Matt Haack,Arizona State,,3043237,,,"Jul 25, 1994",,
David Fales,San Jose State,9,16821,6,QB,"Oct 4, 1990",2014,183
Matt Moore,Oregon State,,11128,,,"Aug 9, 1984",,
Byron Maxwell,Clemson,1,14133,6,CB,"Feb 23, 1988",2011,173
Junior Sylvestre,Toledo,,2574801,,,"Dec 27, 1991",,
Bobby McCain,Memphis,8,2575606,5,CB,"Aug 18, 1993",2015,145
Jordan Phillips,Oklahoma,7,2577466,2,DT,"Oct 15, 1992",2015,52
Joby Saint Fleur,Northwestern Oklahoma State,,4213004,,,"Nov 11, 1992",,
Charles Harris,Missouri,0,3051852,1,DE,"Mar 6, 1995",2017,22
Malcolm Lewis,Miami,8,2969967,,WR,"Oct 27, 1993",,
Jay Ajayi,Boise State,6,2573300,5,RB,"Jun 15, 1993",2015,149
Kenny Stills,Oklahoma,0,16016,5,WR,"Apr 22, 1992",2013,144
Julius Thomas,Portland State,,14204,4,,"Jun 27, 1988",2011,129
Jarvis Landry,LSU,0,16790,2,WR,"Nov 28, 1992",2014,63
Jay Cutler,Vanderbilt,,9597,1,,"Apr 29, 1983",2006,11
Andre Branch,Clemson,0,14952,2,DE,"Jul 14, 1989",2012,38
Nate Allen,South Florida,,13257,2,,"Nov 30, 1987",2010,37
Jermon Bushrod,Towson,4,10568,4,OT,"Aug 19, 1984",2007,125
Jesse Davis,Idaho,7,2517316,,OT,"Sep 15, 1991",,
Anthony Fasano,Notre Dame,,9639,2,,"Apr 20, 1984",2006,53
Larry Hope,Akron,,2969957,,,"Oct 19, 1993",,
Winston Chapman,Mississippi State,,2577438,,,"Apr 15, 1992",,
Chris Pantale,Boston ,,16210,,,"Mar 22, 1990",,
Rashad Lawrence,Northwestern,,17349,,,"Jun 10, 1992",,
Justin March-Lillard,Akron,3,2574282,,LB,"Jul 5, 1993",,
Cody Parkey,Auburn,1,17082,,PK,"Feb 19, 1992",,
John Denney,BYU,2,9287,,LS,"Dec 13, 1978",,
Rey Maualuga,USC,,12455,2,,"Jan 20, 1987",2009,38
Ja'Wuan James,Tennessee,0,16722,1,OT,"Jun 3, 1992",2014,19
Walt Aikens,Liberty,5,16819,4,CB,"Jun 19, 1991",2014,125
Mike Pouncey,Florida,,13974,1,,"Jul 24, 1989",2011,15
Ted Larsen,NC State,,13403,6,,"Jun 13, 1987",2010,205
Stephone Anthony,Clemson,4,2576482,1,LB,"Jul 28, 1992",2015,31
Neville Hewitt,Marshall,6,3059880,,LB,"Apr 6, 1993",,
A.J. Derby,Arkansas,5,3046413,6,TE,"Sep 20, 1991",2015,202
Gabe Wright,Auburn,8,2574579,4,DT,"Apr 3, 1992",2015,113
Blair Brown,Ohio,3,2980639,5,LB,"May 27, 1994",2017,148
Dawuane Smoot,Illinois,4,3042476,3,DE,"Mar 2, 1995",2017,68
Myles Jack,UCLA,4,3047566,2,LB,"Sep 3, 1995",2016,36
Lerentee McCray,Florida,5,16090,,LB,"Aug 26, 1990",,
Audie Cole,NC State,,15023,7,,"Jun 1, 1989",2012,210
Hayes Pullard,USC,0,2510601,7,LB,"Apr 18, 1992",2015,219
Jarrod Wilson,Michigan,,2970661,,,"Feb 9, 1994",,
Josh Johnson,Purdue,,16080,,,"Sep 10, 1989",,
Tracy Howard,Miami,1,2969958,,CB,"Apr 29, 1994",,
Yannick Ngakoue,Maryland,1,3053044,3,DE,"Mar 31, 1995",2016,69
Josh McNary,Army,,15778,,,"Apr 10, 1988",,
Stefan Charles,University of Regina,0,16568,,DT,"Jun 9, 1988",,
Jonathan Woodard,Central Arkansas,6,2567970,7,DE,"Sep 19, 1993",2016,226
Telvin Smith,Florida State,0,16891,5,LB,"Apr 11, 1991",2014,144
Tashaun Gipson,Wyoming,,15235,,,"Aug 7, 1990",,
Jarrod Harper,West Virginia,,2976633,,,"Mar 28, 1994",,
Dante Fowler Jr.,Florida,6,2980100,1,DE,"Aug 3, 1994",2015,3
Jalen Myrick,Minnesota,1,3040198,7,CB,"Feb 27, 1995",2017,222
Barry Church,Toledo,,13338,,,"Feb 11, 1988",,
Sheldon Day,Notre Dame,6,2976194,4,DT,"Jul 1, 1994",2016,103
Doran Grant,Ohio State,5,2576385,4,CB,"Nov 30, 1992",2015,121
P.J. Davis,Georgia Tech,,3055901,,,"Jan 22, 1995",,
Arrelious Benn,Illinois,,13218,2,,"Sep 8, 1988",2010,39
Jeron Johnson,Boise State,,14274,,,"Jun 12, 1988",,
Peyton Thompson,San Jose State,,15156,,,"Sep 26, 1990",,
Brian Dixon,Northwest Missouri State,,17139,,,"Apr 26, 1990",,
Charles Gaines,Louisville,,2576621,6,,"Oct 3, 1992",2015,189
Ezra Robinson,Tennessee State,,2979555,,,"Feb 19, 1994",,
Keelan Cole,Kentucky Wesleyan,4,3071572,,WR,"Apr 20, 1993",,
Malik Jackson,Tennessee,7,15047,5,DT,"Jan 11, 1990",2012,137
Malliciah Goodman,Clemson,,15957,4,,"Jan 4, 1990",2013,127
Tyler Patmon,Oklahoma State,3,17450,,CB,"Jan 26, 1991",,
Larry Pinkard,Old Dominion,1,2512892,,WR,"Feb 25, 1992",,
Kevin Maurice,Nebraska,,3040491,,,"Jun 7, 1993",,
Carroll Phillips,Illinois,9,3115911,,DE,"Sep 2, 1992",,
Tueni Lupeamanu,Idaho,,3124899,,,"Apr 14, 1995",,
Tim Cook,Oregon State,1,3930272,,RB,"Apr 29, 1994",,
Dede Westbrook,Oklahoma,2,3892889,4,WR,"Nov 21, 1993",2017,110
Shane Wynn,Indiana,4,2578322,,WR,"Nov 15, 1992",,
Ben Koyack,Notre Dame,3,2579846,7,TE,"Apr 9, 1993",2015,229
Rashad Greene,Florida State,3,2576785,5,WR,"Sep 23, 1992",2015,139
Alex Ellis,Tennessee,2,2577731,,TE,"Feb 10, 1993",,
Neal Sterling,Monmouth,5,2513770,7,TE,"Jan 14, 1992",2015,220
Chris Ivory,Tiffin University,3,13587,,RB,"Mar 22, 1988",,
T.J. Yeldon,Alabama,4,2976516,2,RB,"Oct 2, 1993",2015,36
Allen Robinson,Penn State,2,16799,2,WR,"Aug 24, 1993",2014,61
Jason Myers,Marist,2,2473037,,PK,"May 12, 1991",,
Corey Grant,Auburn,0,2515934,,RB,"Dec 19, 1991",,
Leonard Fournette,LSU,7,3115364,1,RB,"Jan 18, 1995",2017,4
Brandon Allen,Arkansas,8,2574511,6,QB,"Sep 5, 1992",2016,201
Chad Henne,Michigan,4,11291,2,QB,"Jul 2, 1985",2008,57
Brad Nortman,Wisconsin,,15051,6,,"Sep 12, 1989",2012,207
Blake Bortles,UCF,5,16724,1,QB,"Apr 28, 1992",2014,3
